GEOID,Income,year
04000US39,29790,1991
04000US40,25462,1991
04000US41,30190,1991
04000US42,30367,1991
04000US44,30836,1991
04000US45,27463,1991
04000US46,24639,1991
04000US47,24453,1991
04000US48,27733,1991
04000US49,28016,1991
04000US50,29155,1991
04000US51,36137,1991
04000US53,33970,1991
04000US54,23147,1991
04000US55,31133,1991
04000US56,29050,1991
04000US01,23357,1990
04000US02,39298,1990
04000US04,29224,1990
04000US05,22786,1990
04000US06,33290,1990
04000US08,30733,1990
04000US09,38870,1990
04000US10,30804,1990
04000US12,26685,1990
04000US13,27561,1990
04000US15,38921,1990
04000US16,25305,1990
04000US17,32542,1990
04000US18,26928,1990
04000US19,27288,1990
04000US20,29917,1990
04000US21,24780,1990
04000US22,22405,1990
04000US23,27464,1990
04000US24,38857,1990
04000US25,36247,1990
04000US26,29937,1990
04000US27,31465,1990
04000US28,20178,1990
04000US29,27332,1990
04000US30,23375,1990
04000US31,27482,1990
04000US32,32023,1990
04000US33,40805,1990
04000US34,38734,1990
04000US35,25039,1990
04000US36,31591,1990
04000US37,26329,1990
04000US38,25264,1990
04000US39,30013,1990
04000US40,24384,1990
04000US41,29281,1990
04000US42,29005,1990
04000US44,31968,1990
04000US45,28735,1990
04000US46,24571,1990
04000US47,22592,1990
04000US48,28228,1990
04000US49,30142,1990
04000US50,31098,1990
04000US51,35073,1990
04000US53,32112,1990
04000US54,22137,1990
04000US55,30711,1990
04000US56,29460,1990
04000US01,17310,1984
04000US02,32356,1984
04000US04,21425,1984
04000US05,15674,1984
04000US06,25287,1984
04000US08,25801,1984
04000US09,29951,1984
04000US10,25819,1984
04000US12,19785,1984
04000US13,19984,1984
04000US15,28877,1984
04000US16,21092,1984
04000US17,23752,1984
04000US18,22770,1984
04000US19,19863,1984
